,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
27,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.55,0.4,0.15,False,1,True,valid,-1.410669,u,none,l2,0.0,20260810_212444_465832
80,k_clusters,global_smoothing,6654,0.25,1,0.4,0.35,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4106778,u,none,l2,0.0,20260810_221607_355724
38,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.7,0.85,0.1,False,1,True,valid,-1.4108596,u,none,l2,0.0,20260810_213519_447334
32,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.45,0.35,0.1,False,1,True,valid,-1.4108902,u,none,l1,0.0,20260810_212928_443136
159,k_clusters,global_smoothing,6654,0.32,1,0.0,0.0,0.0,0.85,0.45,0.3,False,1,True,valid,-1.4110742,u,none,l2,0.0,20260810_233300_697825
5,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.45,0.75,0.1,False,1,True,valid,-1.4112091,u,none,l1,0.0,20260810_210311_497885
160,k_clusters,global_smoothing,6654,0.32,1,0.0,0.0,0.0,0.95,0.4,0.05,False,1,True,valid,-1.4112172,u,none,l1,0.0,20260810_233359_494274
197,k_clusters,global_smoothing,6654,0.32,1,0.3,0.5,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4112414,u,none,l2,0.0,20260811_000944_686977
168,k_clusters,global_smoothing,6654,0.28,1,0.2,0.9,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4112803,u,none,l2,0.0,20260810_234147_668979
10,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.9,0.85,0.05,False,1,True,valid,-1.4113926,u,none,l2,0.0,20260810_210755_108691
21,k_clusters,global_smoothing,6654,0.32,1,0.0,0.0,0.0,0.35,0.85,0.1,False,1,True,valid,-1.4114443,u,none,l1,0.0,20260810_211905_599232
83,k_clusters,global_smoothing,6654,0.2,1,0.4,0.55,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4115245,u,none,l2,0.0,20260810_221902_876315
24,k_clusters,global_smoothing,6654,0.3,1,0.0,0.0,0.0,0.45,0.75,0.45,False,1,True,valid,-1.4116567,u,none,l2,0.0,20260810_212155_140158
98,k_clusters,global_smoothing,6654,0.32,1,0.0,0.0,0.0,0.35,0.25,0.15,False,1,True,valid,-1.4117081,u,none,l1,0.0,20260810_223342_197682
116,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.8,0.5,0.35,False,1,True,valid,-1.4117473,u,none,l2,0.0,20260810_225112_699392
64,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.35,0.85,0.4,False,1,True,valid,-1.4117645,u,none,l2,0.0,20260810_220027_471103
187,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.85,0.35,0.25,False,1,True,valid,-1.4118454,u,none,l2,0.0,20260811_000014_198446
65,k_clusters,global_smoothing,6654,0.2,1,0.8,0.6,0.2,0.0,0.0,0.0,True,1,True,valid,-1.411902,u,none,l2,0.0,20260810_220124_849501
150,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.65,0.65,0.45,False,1,True,valid,-1.4119762,u,none,l2,0.0,20260810_232415_904094
34,k_clusters,global_smoothing,6654,0.22,1,0.2,0.6,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4119997,u,none,l2,0.0,20260810_213122_283732
194,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.55,0.45,0.1,False,1,True,valid,-1.4123025,u,none,l1,0.0,20260811_000653_072002
191,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.35,0.25,0.15,False,1,True,valid,-1.4123343,u,none,l1,0.0,20260811_000402_519732
143,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.75,0.55,0.35,False,1,True,valid,-1.4124669,u,none,l2,0.0,20260810_231726_898649
4,k_clusters,global_smoothing,6654,0.26,1,0.6,0.8,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4124937,u,none,l2,0.0,20260810_210214_048228
108,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.45,0.45,0.1,False,1,True,valid,-1.4125279,u,none,l1,0.0,20260810_224326_252157
165,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.55,0.55,0.15,False,1,True,valid,-1.4125444,u,none,l1,0.0,20260810_233851_983963
7,k_clusters,global_smoothing,6654,0.3,1,0.55,0.9,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4126687,u,none,l2,0.0,20260810_210505_244197
185,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.75,0.75,0.45,False,1,True,valid,-1.412688,u,none,l2,0.0,20260810_235819_992670
134,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.65,0.4,0.25,False,1,True,valid,-1.4128209,u,none,l2,0.0,20260810_230841_122307
181,k_clusters,global_smoothing,6654,0.34,1,0.3,0.9,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4129584,u,none,l2,0.0,20260810_235430_037001
72,k_clusters,global_smoothing,6654,0.38,1,0.65,0.7,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4130169,u,none,l2,0.0,20260810_220817_060709
35,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.9,0.35,0.3,False,1,True,valid,-1.4132017,u,none,l2,0.0,20260810_213220_163536
