,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
13,k_clusters,global_smoothing,6654,0.45,1,0.8,0.45,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4222463,u,none,l2,0.0,20260810_211046_005817
42,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.95,0.5,0.15,False,1,True,valid,-1.4223564,u,none,l1,0.0,20260810_213928_439135
186,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.85,0.4,0.3,False,1,True,valid,-1.4224617,u,none,l1,0.0,20260810_235917_438521
11,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.8,0.25,0.05,False,1,True,valid,-1.4231311,u,none,l1,0.0,20260810_210852_790993
113,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.95,0.55,0.35,False,1,True,valid,-1.4236639,u,none,l1,0.0,20260810_224817_428570
102,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.75,0.25,0.3,False,1,True,valid,-1.4237326,u,none,l1,0.0,20260810_223738_331313
97,k_clusters,global_smoothing,6654,0.3,1,0.45,0.9,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4239771,u,none,l1,0.0,20260810_223244_044138
121,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.65,0.15,0.05,False,1,True,valid,-1.4245394,u,none,l1,0.0,20260810_225604_085131
111,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.7,0.25,0.4,False,1,True,valid,-1.4250511,u,none,l1,0.0,20260810_224620_632446
149,k_clusters,global_smoothing,6654,0.45,1,0.2,0.7,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4254422,u,none,l1,0.0,20260810_232318_023883
107,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.65,0.85,0.45,False,1,True,valid,-1.4258705,u,none,l1,0.0,20260810_224228_281476
90,k_clusters,global_smoothing,6654,0.45,1,0.55,0.5,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4259675,u,none,l1,0.0,20260810_222557_320237
57,k_clusters,global_smoothing,6654,0.25,1,0.7,0.55,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4263737,u,none,l1,0.0,20260810_215335_339204
59,k_clusters,global_smoothing,6654,0.34,1,0.3,0.9,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4270216,u,none,l1,0.0,20260810_215535_311877
76,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.75,0.75,0.4,False,1,True,valid,-1.4270248,u,none,l1,0.0,20260810_221212_045830
196,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.65,0.75,0.35,False,1,True,valid,-1.4276403,u,none,l1,0.0,20260811_000847_534401
31,k_clusters,global_smoothing,6654,0.38,1,0.6,0.8,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4277884,u,none,l1,0.0,20260810_212831_641758
48,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.35,0.05,0.45,False,1,True,valid,-1.4279355,u,none,l1,0.0,20260810_214509_772321
112,k_clusters,global_smoothing,6654,0.28,1,0.5,0.6,0.5,0.0,0.0,0.0,True,1,True,valid,-1.42825,u,none,l1,0.0,20260810_224719_025307
114,k_clusters,global_smoothing,6654,0.24,1,0.2,0.65,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4287084,u,none,l1,0.0,20260810_224916_202648
95,k_clusters,global_smoothing,6654,0.32,1,0.45,0.65,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4288745,u,none,l1,0.0,20260810_223048_038023
39,k_clusters,global_smoothing,6654,0.2,1,0.45,0.25,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4289486,u,none,l1,0.0,20260810_213621_255532
144,k_clusters,global_smoothing,6654,0.22,1,0.7,0.9,0.45,0.0,0.0,0.0,True,1,True,valid,-1.428992,u,none,l1,0.0,20260810_231825_728672
173,k_clusters,global_smoothing,6654,0.22,1,0.0,0.0,0.0,0.55,0.25,0.45,False,1,True,valid,-1.4291009,u,none,l1,0.0,20260810_234642_242496
115,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.35,0.85,0.35,False,1,True,valid,-1.4291136,u,none,l1,0.0,20260810_225014_659529
73,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.95,0.4,0.45,False,1,True,valid,-1.4291923,u,none,l1,0.0,20260810_220915_927375
169,k_clusters,global_smoothing,6654,0.25,1,0.65,0.65,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4293994,u,none,l1,0.0,20260810_234246_305983
193,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.85,0.35,0.4,False,1,True,valid,-1.4295555,u,none,l1,0.0,20260811_000556_022719
44,k_clusters,global_smoothing,6654,0.2,1,0.6,0.35,0.45,0.0,0.0,0.0,True,1,True,valid,-1.4295567,u,none,l1,0.0,20260810_214132_529253
157,k_clusters,global_smoothing,6654,0.3,1,0.0,0.0,0.0,0.95,0.05,0.35,False,1,True,valid,-1.4295636,u,none,l1,0.0,20260810_233104_370458
53,k_clusters,global_smoothing,6654,0.45,1,0.45,0.55,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4321135,u,none,l1,0.0,20260810_214942_723835
163,k_clusters,global_smoothing,6654,0.3,1,0.45,0.35,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4324083,u,none,l1,0.0,20260810_233655_879745
156,k_clusters,global_smoothing,6654,0.3,1,0.55,0.35,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4326708,u,none,l1,0.0,20260810_233005_831901
70,k_clusters,global_smoothing,6654,0.25,1,0.6,0.65,0.55,0.0,0.0,0.0,True,1,True,valid,-1.433051,u,none,l1,0.0,20260810_220619_072839
175,k_clusters,global_smoothing,6654,0.2,1,0.3,0.65,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4333051,u,none,l1,0.0,20260810_234840_767812
105,k_clusters,global_smoothing,6654,0.28,1,0.65,0.25,0.55,0.0,0.0,0.0,True,1,True,valid,-1.433996,u,none,l1,0.0,20260810_224031_781997
68,k_clusters,global_smoothing,6654,0.34,1,0.55,0.7,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4340394,u,none,l1,0.0,20260810_220419_871978
161,k_clusters,global_smoothing,6654,0.38,1,0.45,0.9,0.5,0.0,0.0,0.0,True,1,True,valid,-1.4350309,u,none,l1,0.0,20260810_233458_127576
162,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.65,0.85,0.45,False,1,True,valid,-1.4351155,u,none,l1,0.0,20260810_233556_801997
199,k_clusters,global_smoothing,6654,0.45,1,0.4,0.25,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4355799,u,none,l1,0.0,20260811_001140_520869
62,k_clusters,global_smoothing,6654,0.24,1,0.7,0.45,0.6,0.0,0.0,0.0,True,1,True,valid,-1.438342,u,none,l1,0.0,20260810_215831_349211
178,k_clusters,global_smoothing,6654,0.28,1,0.3,0.7,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4386553,u,none,l1,0.0,20260810_235136_879393
55,k_clusters,global_smoothing,6654,0.38,1,0.55,0.8,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4431107,u,none,l1,0.0,20260810_215137_636549
109,k_clusters,global_smoothing,6654,0.3,1,0.5,0.25,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4434769,u,none,l1,0.0,20260810_224424_574505
14,k_clusters,global_smoothing,6654,0.32,1,0.55,0.55,0.65,0.0,0.0,0.0,True,1,True,valid,-1.4436836,u,none,l1,0.0,20260810_211143_378472
195,k_clusters,global_smoothing,6654,0.45,1,0.5,0.7,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4451072,u,none,l1,0.0,20260811_000750_505056
182,k_clusters,global_smoothing,6654,0.45,1,0.65,0.25,0.6,0.0,0.0,0.0,True,1,True,valid,-1.4563642,u,none,l1,0.0,20260810_235528_085123
