Model,Overall LL,$\Delta$ LL,Human LL,Machine LL
Cluster shrinkage,-1.37401 $\pm$ 0.00027,+0.00042,-1.01573 $\pm$ 0.00071,-1.61426 $\pm$ 0.00029
No shrinkage,-1.374422736492396,-,-1.0084560256403026,-1.6198302657421164
Global shrinkage,-1.3750192174388784,-0.00060,-1.0125681499923886,-1.6180692498553932
Hourly user benchmark,-1.4519978390260349,-0.07758,-1.0544727324830285,-1.7185675879090958
User level benchmark,-1.4557081243822119,-0.08129,-1.0476672517760655,-1.7293294659135523
